Quarter,Type,الربع السنوي,Description,الوصف,Year,Value,Title,العنوان,Quarter_Number,النوع,sort_id
First Quarter,Units,First Quarter,Number,عدد,2022,708,Other,أخرى,1,وحده,210
First Quarter,Building,First Quarter,Value,قيمة,2022,3956651467,Other,أخرى,1,مبنى,211
First Quarter,Building,First Quarter,Number,عدد,2022,62,Other,أخرى,1,مبنى,212
First Quarter,Land,First Quarter,Value,قيمة,2022,1049093943,Other,أخرى,1,أرض,213
First Quarter,Land,First Quarter,Number,عدد,2022,63,Other,أخرى,1,أرض,214
First Quarter,Villa,First Quarter,Value,قيمة,2022,704737565,Other,أخرى,1,فيلا,215
First Quarter,Villa,First Quarter,Number,عدد,2022,162,Other,أخرى,1,فيلا,216
Second Quarter,Units,Second Quarter,Value,قيمة,2022,30189793188,Sales,المبايعات,2,وحده,217
Second Quarter,Units,Second Quarter,Number,عدد,2022,15846,Sales,المبايعات,2,وحده,218
Second Quarter,Building,Second Quarter,Value,قيمة,2022,1605279721,Sales,المبايعات,2,مبنى,219
Second Quarter,Building,Second Quarter,Number,عدد,2022,92,Sales,المبايعات,2,مبنى,220
Second Quarter,Land,Second Quarter,Value,قيمة,2022,15734019178,Sales,المبايعات,2,أرض,221
Second Quarter,Land,Second Quarter,Number,عدد,2022,3126,Sales,المبايعات,2,أرض,222
Second Quarter,Villa,Second Quarter,Value,قيمة,2022,11627983699,Sales,المبايعات,2,فيلا,223
Second Quarter,Villa,Second Quarter,Number,عدد,2022,3436,Sales,المبايعات,2,فيلا,224
Second Quarter,Units,Second Quarter,Value,قيمة,2022,2773624250,Mortgages,الرهون,2,وحده,225
Second Quarter,Units,Second Quarter,Number,عدد,2022,2227,Mortgages,الرهون,2,وحده,226
Second Quarter,Building,Second Quarter,Value,قيمة,2022,10252705256,Mortgages,الرهون,2,مبنى,227
Second Quarter,Building,Second Quarter,Number,عدد,2022,151,Mortgages,الرهون,2,مبنى,228
Second Quarter,Land,Second Quarter,Value,قيمة,2022,49439625095,Mortgages,الرهون,2,أرض,229
Second Quarter,Land,Second Quarter,Number,عدد,2022,760,Mortgages,الرهون,2,أرض,230
Second Quarter,Villa,Second Quarter,Value,قيمة,2022,5670919086,Mortgages,الرهون,2,فيلا,231
Second Quarter,Villa,Second Quarter,Number,عدد,2022,1724,Mortgages,الرهون,2,فيلا,232
Second Quarter,Units,Second Quarter,Value,قيمة,2022,1163307570,Other,أخرى,2,وحده,233
Second Quarter,Units,Second Quarter,Number,عدد,2022,788,Other,أخرى,2,وحده,234
Second Quarter,Building,Second Quarter,Value,قيمة,2022,1801786506,Other,أخرى,2,مبنى,235
Second Quarter,Building,Second Quarter,Number,عدد,2022,57,Other,أخرى,2,مبنى,236
Second Quarter,Land,Second Quarter,Value,قيمة,2022,659547944,Other,أخرى,2,أرض,237
Second Quarter,Land,Second Quarter,Number,عدد,2022,59,Other,أخرى,2,أرض,238
Second Quarter,Villa,Second Quarter,Value,قيمة,2022,1030766054,Other,أخرى,2,فيلا,239
Second Quarter,Villa,Second Quarter,Number,عدد,2022,166,Other,أخرى,2,فيلا,240
Third Quarter,Units,Third Quarter,Value,قيمة,2022,34675460814,Sales,المبايعات,3,وحده,241
Third Quarter,Units,Third Quarter,Number,عدد,2022,18751,Sales,المبايعات,3,وحده,242
Third Quarter,Building,Third Quarter,Value,قيمة,2022,1116950488,Sales,المبايعات,3,مبنى,243
Third Quarter,Building,Third Quarter,Number,عدد,2022,73,Sales,المبايعات,3,مبنى,244
Third Quarter,Land,Third Quarter,Value,قيمة,2022,22927898737,Sales,المبايعات,3,أرض,245
Third Quarter,Land,Third Quarter,Number,عدد,2022,3239,Sales,المبايعات,3,أرض,246
Third Quarter,Villa,Third Quarter,Value,قيمة,2022,11011975835,Sales,المبايعات,3,فيلا,247
Third Quarter,Villa,Third Quarter,Number,عدد,2022,3389,Sales,المبايعات,3,فيلا,248
Third Quarter,Units,Third Quarter,Value,قيمة,2022,4902655058,Mortgages,الرهون,3,وحده,249
Third Quarter,Units,Third Quarter,Number,عدد,2022,2567,Mortgages,الرهون,3,وحده,250
Third Quarter,Building,Third Quarter,Value,قيمة,2022,7130031902,Mortgages,الرهون,3,مبنى,251
Third Quarter,Building,Third Quarter,Number,عدد,2022,123,Mortgages,الرهون,3,مبنى,252
Third Quarter,Land,Third Quarter,Value,قيمة,2022,42934944061,Mortgages,الرهون,3,أرض,253
Third Quarter,Land,Third Quarter,Number,عدد,2022,1019,Mortgages,الرهون,3,أرض,254
Third Quarter,Villa,Third Quarter,Value,قيمة,2022,4461380189,Mortgages,الرهون,3,فيلا,255
Third Quarter,Villa,Third Quarter,Number,عدد,2022,1620,Mortgages,الرهون,3,فيلا,256
Third Quarter,Units,Third Quarter,Value,قيمة,2022,1359579732,Other,أخرى,3,وحده,257
Third Quarter,Units,Third Quarter,Number,عدد,2022,936,Other,أخرى,3,وحده,258
Third Quarter,Building,Third Quarter,Value,قيمة,2022,3339154905,Other,أخرى,3,مبنى,259
Third Quarter,Building,Third Quarter,Number,عدد,2022,80,Other,أخرى,3,مبنى,260
Third Quarter,Land,Third Quarter,Value,قيمة,2022,826347076,Other,أخرى,3,أرض,261
Third Quarter,Land,Third Quarter,Number,عدد,2022,93,Other,أخرى,3,أرض,262
Third Quarter,Villa,Third Quarter,Value,قيمة,2022,1533079697,Other,أخرى,3,فيلا,263
Third Quarter,Villa,Third Quarter,Number,عدد,2022,197,Other,أخرى,3,فيلا,264
Fourth Quarter,Units,Fourth Quarter,Value,قيمة,2022,46390596773,Sales,المبايعات,4,وحده,265
Fourth Quarter,Units,Fourth Quarter,Number,عدد,2022,22437,Sales,المبايعات,4,وحده,266
Fourth Quarter,Building,Fourth Quarter,Value,قيمة,2022,2263549077,Sales,المبايعات,4,مبنى,267
Fourth Quarter,Building,Fourth Quarter,Number,عدد,2022,136,Sales,المبايعات,4,مبنى,268
Fourth Quarter,Land,Fourth Quarter,Value,قيمة,2022,20251818746,Sales,المبايعات,4,أرض,269
Fourth Quarter,Land,Fourth Quarter,Number,عدد,2022,2898,Sales,المبايعات,4,أرض,270
Fourth Quarter,Villa,Fourth Quarter,Value,قيمة,2022,13423061186,Sales,المبايعات,4,فيلا,271
Fourth Quarter,Villa,Fourth Quarter,Number,عدد,2022,3745,Sales,المبايعات,4,فيلا,272
Fourth Quarter,Units,Fourth Quarter,Value,قيمة,2022,10706237223,Mortgages,الرهون,4,وحده,273
Fourth Quarter,Units,Fourth Quarter,Number,عدد,2022,2641,Mortgages,الرهون,4,وحده,274
